Id,Decision Date,Employer,"City, State",Case Status,Job Title,Wage Offer
A-16278-58896,2017-01-23,"Cadence Design Systems, Inc.","SAN JOSE, CA",Certified,"Electronics Engineers, Except Computer, Level II","118,228.00/Year"
A-16319-71052,2017-01-23,First America Metal Corporation,"Morris, IL",Certified,"Logisticians, Level I","41,000.00/Year"
A-16139-11621,2017-01-23,"Sun Marble At Fresno, Inc","Fresno, CA",Certified,"Wholesale and Retail Buyers, Except Farm Products, Level III","50,045.00/Year"
A-16134-09696,2017-01-20,Kforce Inc.,"Tampa, FL",Certified,"Software Developers, Applications, Level I",34.00/Hour
A-16305-66684,2017-01-20,Texas Instruments Incorporated,"Manchester, NH",Certified,"Electronics Engineers, Except Computer, Level III","103,400.00/Year"
A-16319-70982,2017-01-20,"Gyro, Llc","New York, NY",Certified,"Multimedia Artists and Animators, Level I","90,000.00/Year"
A-16246-49470,2017-01-20,Apple Inc.,"Cupertino, CA",Certified,"Mechanical Engineers, Level II","123,812.00/Year"
A-16242-47606,2017-01-19,"University Of California, Davis","Davis, CA",Certified,"Mathematical Science Teachers, Postsecondary, Level I","142,082.00/Year"
A-16315-70224,2017-01-19,Microsoft Corporation,"Redmond, WA",Certified,"Software Developers, Applications, Level II","133,500.00/Year"
A-16315-70090,2017-01-19,Law Office Of Yeung & Wang Pllc,"Flushing, NY",Certified,"Loan Officers, Level I","50,000.00/Year"
A-16314-69833,2017-01-19,"Semiconductor Components Industries, Llc","Meridian, ID",Certified,"Electronics Engineers, Except Computer, Level II","85,342.00/Year"
A-16309-68648,2017-01-18,Inteplast Group Corporation,"Lolita, TX",Certified,"Technical Engineer, Level I","73,500.00/Year"
A-16238-46553,2017-01-18,Q-edge Corporation,"Plainfield, IN",Certified,"Software Developers, Applications, Level II","74,485.00/Year"
A-16309-68494,2017-01-18,O.e.c. Shipping Los Angeles Inc.,"Cerritos, CA",Certified,"Marketing Managers, Level II","115,000.00/Year"
A-16228-42533,2017-01-18,Qualcomm Technologies Inc.,"San Diego, CA",Certified,"Software Developers, Systems Software, Level III","127,172.00/Year"
A-16201-34140,2017-01-18,Qualcomm Technologies Inc.,"Irvine, CA",Certified,"Electronics Engineers, Except Computer, Level III","131,290.00/Year"
A-16126-06130,2017-01-18,"A.t.x. Express, Inc.","Montclair, CA",Certified,"Bookkeeping, Accounting, and Auditing Clerks, Level III","39,686.00/Year"
A-16291-62389,2017-01-18,Texas Instruments Incorporated,"Santa Clara, CA",Certified,"Electronics Engineers, Except Computer, Level III","131,955.00/Year"
A-16277-58344,2017-01-18,"Synopsys, Inc.","MOUNTAIN VIEW, CA",Certified,"Electronics Engineers, Except Computer, Level II","108,992.00/Year"
A-16208-36075,2017-01-17,Intelligent Epitaxy Technology Inc.,"Richardson, TX",Certified,"Accountants and Auditors, Level I","53,000.00/Year"
A-16305-66699,2017-01-17,Brighton-best International Inc,"Long Beach, CA",Certified,"Computer Occupations, All Other, Level II","61,610.00/Year"
A-16301-65894,2017-01-13,Nan Ya Plastics Corporation Usa,"HOUSTON, TX",Certified,"PUBLIC RELATIONS SPECIALISTS, Level II","47,195.00/Year"
A-16300-65650,2017-01-13,Qualcomm Technologies Inc.,"SAN DIEGO, CA",Certified,"Software Developers, Systems Software, Level II","101,525.00/Year"
A-16300-65360,2017-01-13,Fabrizio Accessories Llc,"New York, NY",Certified,"Computer Occupations, All Other, Level I","77,293.00/Year"
A-16277-58246,2017-01-13,Ibm Corporation,"Chicago, IL",Certified,"Software Developers, Applications, Level II","71,843.00/Year"
A-16286-61142,2017-01-12,University Of Pennsylvania,"Philadelphia, PA",Certified,"Assistant Professor of Anesthesiology and Critical Care, Level IV","200,000.00/Year"
A-16286-60828,2017-01-12,"Sc & Associates, Llp","Great Neck, NY",Certified,"Accountants and Auditors, Level IV","107,182.00/Year"
A-16285-60523,2017-01-12,"Micro Lithography, Inc.","Sunnyvale, CA",Certified,"Industrial Engineer, Level I","80,870.00/Year"
A-16251-50248,2017-01-12,Inovant Llc,"San Francisco, CA",Certified,"Software Developers, Systems Software, Level II","115,003.20/Year"
A-16291-62349,2017-01-12,"Advantes Speech Therapy Services, Inc","Diamond Bar, CA",Certified,"Speech-Language Pathologist, Level I",38.00/Hour
A-16120-03875,2017-01-11,Life Steps Foundation Children And Family Services,"Diamond Bar, CA",Certified,"Educational, Guidance, School, and Vocational Counselors, Level I","38,064.00/Year"
A-16263-53960,2017-01-11,"Ooyala, Inc.","Santa Clara, CA",Certified,"Software Developers, Systems Software, Level II","125,000.00/Year"
A-16144-13220,2017-01-11,Loves7 Llc,"Salem, NH",Certified,"Computer and Information Systems Managers, Level IV","152,277.00/Year"
A-16133-09277,2017-01-11,Ace Result Llc Dba Atlantic Technology,"Norwood, MA",Certified,"Marketing research analysts and marketing specialists, Level I","40,914.00/Year"
A-16323-72593,2017-01-11,United Pacific Industries Inc.,"Long Beach, CA",Certified,"Graphic Designer, Level I","34,100.00/Year"
A-16309-68264,2017-01-11,"Defender Services, Inc.","Hendersonville, NC",Certified,"Packers and Packagers, Level I",8.20/Hour
A-16226-42120,2017-01-11,Asus Computer International,"Fremont, CA",Certified,"Software Developers, Applications, Level II","100,360.00/Year"
A-16287-61645,2017-01-11,Intel Corporation,"Hillsboro, OR",Certified,"Materials Engineers, Level III","94,682.00/Year"
A-16281-60100,2017-01-11,Intel Corporation,"Hillsboro, OR",Certified,"Materials Engineers, Level II","77,043.00/Year"
A-16285-60623,2017-01-11,Thomson Reuters (tax & Accounting) Inc.,"Carrollton, TX",Certified,"Market Research Analysts and Marketing Specialists, Level I","66,078.92/Year"
A-16183-28533,2017-01-10,Louisiana State University In Shreveport,"Shreveport, LA",Certified,"Psychology Teachers, Postsecondary, Level I","48,000.00/Year"
A-16295-63923,2017-01-10,Mediatek Usa Inc.,"San Jose, CA",Certified,"Software Developers, Systems Software, Level II","123,000.00/Year"
A-16104-96536,2017-01-10,Venus Laboratories Dba Earth Friendly Products,"Lacey, WA",Certified,"Sales Managers, Level II","71,323.00/Year"
