,0,1
0,"< 20,000",0
1,"20,001 - 30,000",8
2,"30,001 - 40,000",33
3,"40,001 - 50,000",134
4,"50,001 - 60,000",141
5,"60,001 - 70,000",134
6,"70,001 - 80,000",126
7,"80,001 - 90,000",80
8,"90,001 - 100,000",55
9,"100,001 - 110,000",37
10,"110,001 - 120,000",24
11,"120,001 - 130,000",21
12,"130,001 - 140,000",11
13,"140,001 - 150,000",5
14,"> 150,001",19
