State,means,median
OR,87046.148634,89814.0
WA,88959.471121,88000.0
MA,80524.816418,79600.0
CT,85929.474576,78000.0
CA,78638.171523,75000.0
MI,74341.912609,73736.0
NJ,71402.722046,69160.0
PA,70425.838015,68498.0
AZ,67729.761389,67625.0
NY,72058.403010,66934.0
